src/architecture/langgraph/queen/components/PrincessDispatcherFacade.ts(181,20): error TS1109: Expression expected.
src/architecture/langgraph/queen/components/PrincessDispatcherFacade.ts(243,34): error TS1109: Expression expected.
src/architecture/langgraph/queen/components/QueenMetricsAggregatorFacade.ts(289,13): error TS1005: ':' expected.
src/architecture/langgraph/queen/components/QueenMetricsAggregatorFacade.ts(366,18): error TS1011: An element access expression should take an argument.
src/architecture/langgraph/queen/components/QueenMetricsAggregatorFacade.ts(373,27): error TS1011: An element access expression should take an argument.
src/architecture/langgraph/testing/FSMValidationSuite.ts(607,41): error TS1005: ';' expected.
src/architecture/langgraph/testing/FSMValidationSuite.ts(607,63): error TS1005: ';' expected.
src/architecture/langgraph/testing/FSMValidationSuite.ts(607,121): error TS1005: ';' expected.
src/architecture/langgraph/testing/FSMValidationSuite.ts(607,143): error TS1005: ';' expected.
src/architecture/langgraph/testing/FSMValidationSuite.ts(607,200): error TS1002: Unterminated string literal.
src/compliance/monitoring/ComplianceDriftDetectorFacade.ts(29,22): error TS1011: An element access expression should take an argument.
src/config/core/CompatibilityTransitionGuard.ts(7,35): error TS1109: Expression expected.
src/config/core/CompatibilityTransitionGuard.ts(7,59): error TS1109: Expression expected.
src/config/core/CompatibilityTransitionGuard.ts(7,67): error TS1005: ':' expected.
src/config/states/LegacyLoaderStateHandler.ts(7,35): error TS1109: Expression expected.
src/config/states/LegacyLoaderStateHandler.ts(7,59): error TS1109: Expression expected.
src/config/states/LegacyLoaderStateHandler.ts(7,67): error TS1005: ':' expected.
src/config/states/MigrationStateHandler.ts(7,35): error TS1109: Expression expected.
src/config/states/MigrationStateHandler.ts(7,59): error TS1109: Expression expected.
src/config/states/MigrationStateHandler.ts(7,67): error TS1005: ':' expected.
src/config/states/ValidationStateHandler.ts(7,35): error TS1109: Expression expected.
src/config/states/ValidationStateHandler.ts(7,59): error TS1109: Expression expected.
src/config/states/ValidationStateHandler.ts(7,67): error TS1005: ':' expected.
src/context/core/DriftErrorHandler.ts(7,35): error TS1109: Expression expected.
src/context/core/DriftErrorHandler.ts(7,59): error TS1109: Expression expected.
src/context/core/DriftErrorHandler.ts(7,67): error TS1005: ':' expected.
src/context/core/DriftTransitionGuard.ts(7,35): error TS1109: Expression expected.
src/context/core/DriftTransitionGuard.ts(7,59): error TS1109: Expression expected.
src/context/core/DriftTransitionGuard.ts(7,67): error TS1005: ':' expected.
src/context/core/GitHubErrorHandler.ts(7,35): error TS1109: Expression expected.
src/context/core/GitHubErrorHandler.ts(7,59): error TS1109: Expression expected.
src/context/core/GitHubErrorHandler.ts(7,67): error TS1005: ':' expected.
src/context/core/GitHubTransitionGuard.ts(7,35): error TS1109: Expression expected.
src/context/core/GitHubTransitionGuard.ts(7,59): error TS1109: Expression expected.
src/context/core/GitHubTransitionGuard.ts(7,67): error TS1005: ':' expected.
src/context/core/ThresholdErrorHandler.ts(7,35): error TS1109: Expression expected.
src/context/core/ThresholdErrorHandler.ts(7,59): error TS1109: Expression expected.
src/context/core/ThresholdErrorHandler.ts(7,67): error TS1005: ':' expected.
src/context/core/ThresholdTransitionGuard.ts(7,35): error TS1109: Expression expected.
src/context/core/ThresholdTransitionGuard.ts(7,59): error TS1109: Expression expected.
src/context/core/ThresholdTransitionGuard.ts(7,67): error TS1005: ':' expected.
src/context/GitHubProjectIntegration.ts(7,35): error TS1109: Expression expected.
src/context/GitHubProjectIntegration.ts(7,59): error TS1109: Expression expected.
src/context/GitHubProjectIntegration.ts(7,67): error TS1005: ':' expected.
src/context/states/AdaptationStateHandler.ts(7,35): error TS1109: Expression expected.
src/context/states/AdaptationStateHandler.ts(7,59): error TS1109: Expression expected.
src/context/states/AdaptationStateHandler.ts(7,67): error TS1005: ':' expected.
src/context/states/AdaptingStateHandler.ts(7,35): error TS1109: Expression expected.
src/context/states/AdaptingStateHandler.ts(7,59): error TS1109: Expression expected.
src/context/states/AdaptingStateHandler.ts(7,67): error TS1005: ':' expected.
src/context/states/AnalyzingStateHandler.ts(7,35): error TS1109: Expression expected.
src/context/states/AnalyzingStateHandler.ts(7,59): error TS1109: Expression expected.
src/context/states/AnalyzingStateHandler.ts(7,67): error TS1005: ':' expected.
src/context/states/CapturingStateHandler.ts(7,35): error TS1109: Expression expected.
src/context/states/CapturingStateHandler.ts(7,59): error TS1109: Expression expected.
src/context/states/CapturingStateHandler.ts(7,67): error TS1005: ':' expected.
src/context/states/ConnectionStateHandler.ts(7,35): error TS1109: Expression expected.
src/context/states/ConnectionStateHandler.ts(7,59): error TS1109: Expression expected.
src/context/states/ConnectionStateHandler.ts(7,67): error TS1005: ':' expected.
src/context/states/InitializationStateHandler.ts(7,35): error TS1109: Expression expected.
src/context/states/InitializationStateHandler.ts(7,59): error TS1109: Expression expected.
src/context/states/InitializationStateHandler.ts(7,67): error TS1005: ':' expected.
src/context/states/MonitoringStateHandler.ts(7,35): error TS1109: Expression expected.
src/context/states/MonitoringStateHandler.ts(7,59): error TS1109: Expression expected.
src/context/states/MonitoringStateHandler.ts(7,67): error TS1005: ':' expected.
src/context/states/ReportingStateHandler.ts(7,35): error TS1109: Expression expected.
src/context/states/ReportingStateHandler.ts(7,59): error TS1109: Expression expected.
src/context/states/ReportingStateHandler.ts(7,67): error TS1005: ':' expected.
src/context/states/SyncStateHandler.ts(7,35): error TS1109: Expression expected.
src/context/states/SyncStateHandler.ts(7,59): error TS1109: Expression expected.
src/context/states/SyncStateHandler.ts(7,67): error TS1005: ':' expected.
src/context/states/ValidationStateHandler.ts(7,35): error TS1109: Expression expected.
src/context/states/ValidationStateHandler.ts(7,59): error TS1109: Expression expected.
src/context/states/ValidationStateHandler.ts(7,67): error TS1005: ':' expected.
src/debug/queen/types/domains/debug-types.ts(22,19): error TS1005: ',' expected.
src/debug/types/domains/debug-types.ts(22,19): error TS1005: ',' expected.
src/documentation/analysis/CodeAnalyzer.ts(7,35): error TS1109: Expression expected.
src/documentation/analysis/CodeAnalyzer.ts(7,59): error TS1109: Expression expected.
src/documentation/analysis/CodeAnalyzer.ts(7,67): error TS1005: ':' expected.
src/documentation/infrastructure/core/DocErrorHandler.ts(7,35): error TS1109: Expression expected.
src/documentation/infrastructure/core/DocErrorHandler.ts(7,59): error TS1109: Expression expected.
src/documentation/infrastructure/core/DocErrorHandler.ts(7,67): error TS1005: ':' expected.
src/documentation/infrastructure/core/DocTransitionGuard.ts(7,35): error TS1109: Expression expected.
src/documentation/infrastructure/core/DocTransitionGuard.ts(7,59): error TS1109: Expression expected.
src/documentation/infrastructure/core/DocTransitionGuard.ts(7,67): error TS1005: ':' expected.
src/documentation/infrastructure/states/DeployingStateHandler.ts(7,35): error TS1109: Expression expected.
src/documentation/infrastructure/states/DeployingStateHandler.ts(7,59): error TS1109: Expression expected.
src/documentation/infrastructure/states/DeployingStateHandler.ts(7,67): error TS1005: ':' expected.
src/documentation/infrastructure/states/GeneratingStateHandler.ts(7,35): error TS1109: Expression expected.
src/documentation/infrastructure/states/GeneratingStateHandler.ts(7,59): error TS1109: Expression expected.
