File: src/architecture/langgraph/queen/core/QueenCoordinator.ts | Line: 8 | Missing: ../state-machines/PrincessStateMachineFacade
File: src/compliance/monitoring/ComplianceDriftDetector-typed.ts | Line: 9 | Missing: ../../../types/base/shared
File: src/context/AdaptiveThresholdFSM.ts | Line: 7 | Missing: ~types/AdaptiveThresholdTypes
File: src/context/AdaptiveThresholdFSM.ts | Line: 8 | Missing: ./states/InitializationStateHandler
File: src/context/AdaptiveThresholdFSM.ts | Line: 9 | Missing: ./states/MonitoringStateHandler
File: src/context/AdaptiveThresholdFSM.ts | Line: 10 | Missing: ./states/AdaptationStateHandler
File: src/context/AdaptiveThresholdFSM.ts | Line: 11 | Missing: ./core/ThresholdErrorHandler
File: src/context/AdaptiveThresholdFSM.ts | Line: 12 | Missing: ./core/ThresholdTransitionGuard
File: src/context/degradation/types/DegradationTypes.ts | Line: 7 | Missing: ~/types/validation-types
File: src/context/GitHubProjectFSM.ts | Line: 7 | Missing: ~types/GitHubProjectTypes
File: src/context/GitHubProjectFSM.ts | Line: 8 | Missing: ./states/ConnectionStateHandler
File: src/context/GitHubProjectFSM.ts | Line: 9 | Missing: ./states/ValidationStateHandler
File: src/context/GitHubProjectFSM.ts | Line: 10 | Missing: ./states/SyncStateHandler
File: src/context/GitHubProjectFSM.ts | Line: 11 | Missing: ./core/GitHubErrorHandler
File: src/context/GitHubProjectFSM.ts | Line: 12 | Missing: ./core/GitHubTransitionGuard
File: src/context/GitHubProjectIntegrationFSM.ts | Line: 8 | Missing: ./GitHubProjectIntegrationFSMFacade
File: src/context/GitHubProjectIntegrationFSM.ts | Line: 9 | Missing: ./GitHubProjectIntegrationFSMFacade
File: src/context/IntelligentContextPruner.ts | Line: 5 | Missing: ./IntelligentContextPrunerFacade
File: src/context/IntelligentContextPruner.ts | Line: 6 | Missing: ./IntelligentContextPrunerFacade
File: src/context/SemanticDriftFSM.ts | Line: 7 | Missing: ~types/SemanticDriftTypes
File: src/context/SemanticDriftFSM.ts | Line: 8 | Missing: ./states/CapturingStateHandler
File: src/context/SemanticDriftFSM.ts | Line: 9 | Missing: ./states/AnalyzingStateHandler
File: src/context/SemanticDriftFSM.ts | Line: 10 | Missing: ./states/AdaptingStateHandler
File: src/context/SemanticDriftFSM.ts | Line: 11 | Missing: ./states/ReportingStateHandler
File: src/context/SemanticDriftFSM.ts | Line: 12 | Missing: ./core/DriftErrorHandler
File: src/context/SemanticDriftFSM.ts | Line: 13 | Missing: ./core/DriftTransitionGuard
File: src/documentation/infrastructure/InfrastructureDocumentationFSM.ts | Line: 7 | Missing: ~types/InfrastructureDocTypes
